buttonType,game,currency,initialBetAmount,minOrMaxAmount,expectedAfterFirstClick,expectedAfterSecondClick
MIN,Plinko,USD,10,0.1,,
MIN,Mines,USD,10,0.01,,
MIN,Keno,USD,10,0.1,,
MIN,Plinko,EUR,10,0.1,,
MIN,Mines,EUR,10,0.01,,
MIN,Keno,EUR,10,0.1,,
MIN,Plinko,RUB,20,9.92,,
MIN,Mines,RUB,20,0.99,,
MIN,Keno,RUB,20,9.92,,
MIN,Plinko,JPY,20,15.04,,
MIN,Mines,JPY,20,1.5,,
MIN,Keno,JPY,20,15.04,,
MIN,Plinko,CAD,10,0.14,,
MIN,Mines,CAD,10,0.01,,
MIN,Keno,CAD,10,0.14,,
MIN,Plinko,KRW,200,134.08,,
MIN,Mines,KRW,200,13.41,,
MIN,Keno,KRW,200,134.08,,
MIN,Plinko,TRY,10,2.94,,
MIN,Mines,TRY,10,0.29,,
MIN,Keno,TRY,10,2.94,,
MIN,Plinko,NGN,100,78.68,,
MIN,Mines,NGN,100,7.87,,
MIN,Keno,NGN,100,78.68,,
MIN,Plinko,NZD,10,0.17,,
MIN,Mines,NZD,10,0.02,,
MIN,Keno,NZD,10,0.17,,
MIN,Plinko,PLN,10,0.42,,
MIN,Mines,PLN,10,0.04,,
MIN,Keno,PLN,10,0.42,,
MIN,Plinko,CZK,10,2.33,,
MIN,Mines,CZK,10,0.23,,
MIN,Keno,CZK,10,2.33,,
MIN,Plinko,INR,10,8.3,,
MIN,Mines,INR,10,0.83,,
MIN,Keno,INR,10,8.3,,
MAX,Plinko,USD,10,10000,,
MAX,Mines,USD,10,200000,,
MAX,Keno,USD,10,200000,,
MAX,Plinko,EUR,10,9500,,
MAX,Mines,EUR,10,190000,,
MAX,Keno,EUR,10,190000,,
MAX,Plinko,RUB,20,991900,,
MAX,Mines,RUB,20,19838000,,
MAX,Keno,RUB,20,19838000,,
MAX,Plinko,JPY,20,1503800,,
MAX,Mines,JPY,20,30076000,,
MAX,Keno,JPY,20,30076000,,
MAX,Plinko,CAD,10,13700,,
MAX,Mines,CAD,10,274000,,
MAX,Keno,CAD,10,274000,,
MAX,Plinko,KRW,200,13407700,,
MAX,Mines,KRW,200,268154000,,
MAX,Keno,KRW,200,268154000,,
MAX,Plinko,TRY,10,293600,,
MAX,Mines,TRY,10,5872000,,
MAX,Keno,TRY,10,5872000,,
MAX,Plinko,NGN,100,7867500,,
MAX,Mines,NGN,100,157350000,,
MAX,Keno,NGN,100,157350000,,
MAX,Plinko,NZD,10,16900,,
MAX,Mines,NZD,10,338000,,
