esportsPageEndfix,esportSidebarItemName
/sports/esports/counter-strike-2,CS2
/sports/esports/dota,Dota 2
/sports/esports/valorant,Valorant
/sports/esports/league-of-legends,League of Legends
/sports/esports/warcraft-3,Warcraft 3
/sports/esports/rainbow-six,Rainbow Six
/sports/esports/ebasketball,eBasketball
/sports/esports/call-of-duty,Call of Duty
/sports/sport/esport/5/22,King of Glory
/sports/esports/mobile-legends,Mobile Legends
/sports/sport/esport/5/34,World of Warcraft
/sports/sport/esport/5/25,HALO
/sports/esports/ecricket,eCricket
/sports/esports/counter-strike-2-duels,CS2 Duels
/sports/sport/esport/5/35,Crossfire
/sports/sport/esport/5/21,eFootball
